source,target,weight,type
2021,고객,164,undirected
2021,금융,159,undirected
2021,사업,141,undirected
2021,성장,123,undirected
2021,변화,116,undirected
2021,기업,108,undirected
2021,코로나,102,undirected
2021,혁신,93,undirected
2021,시장,90,undirected
2021,경영,87,undirected
2021,강화,87,undirected
2021,회사,83,undirected
2021,환경,77,undirected
2021,디지털,73,undirected
2021,지속,72,undirected
2021,가치,72,undirected
2021,미래,71,undirected
2021,글로벌,65,undirected
2021,기반,63,undirected
2021,위기,63,undirected
2021,역량,62,undirected
2021,확대,61,undirected
2021,기술,59,undirected
2021,경쟁력,57,undirected
2021,조직,56,undirected
2021,추진,55,undirected
2021,노력,54,undirected
2021,사회,53,undirected
2021,경제,53,undirected
2021,중심,51,undirected
