source,target,weight,type
2017,금융,114,undirected
2017,성장,105,undirected
2017,시장,92,undirected
2017,경영,90,undirected
2017,사업,89,undirected
2017,기업,79,undirected
2017,강화,73,undirected
2017,회사,72,undirected
2017,고객,71,undirected
2017,변화,69,undirected
2017,노력,65,undirected
2017,혁신,63,undirected
2017,글로벌,60,undirected
2017,경제,57,undirected
2017,미래,55,undirected
2017,경쟁력,53,undirected
2017,확대,52,undirected
2017,지속,49,undirected
2017,환경,49,undirected
2017,조직,46,undirected
2017,기술,45,undirected
2017,서비스,44,undirected
2017,목표,42,undirected
2017,개선,40,undirected
2017,역량,39,undirected
2017,상황,38,undirected
2017,추진,37,undirected
2017,확보,37,undirected
2017,관리,37,undirected
2017,산업,35,undirected
