source,target,weight,type
2020,고객,201,undirected
2020,성장,149,undirected
2020,금융,144,undirected
2020,사업,134,undirected
2020,혁신,133,undirected
2020,변화,120,undirected
2020,경영,97,undirected
2020,기업,93,undirected
2020,시장,91,undirected
2020,회사,90,undirected
2020,미래,89,undirected
2020,글로벌,78,undirected
2020,경쟁력,74,undirected
2020,환경,69,undirected
2020,역량,67,undirected
2020,가치,66,undirected
2020,기술,65,undirected
2020,확보,65,undirected
2020,디지털,62,undirected
2020,지속,61,undirected
2020,강화,61,undirected
2020,추진,56,undirected
2020,노력,55,undirected
2020,중심,54,undirected
2020,기반,53,undirected
2020,조직,46,undirected
2020,성과,46,undirected
2020,은행,46,undirected
2020,수익,46,undirected
2020,도전,44,undirected
