source,target,weight,type
2018,금융,119,undirected
2018,회사,93,undirected
2018,시장,90,undirected
2018,경영,79,undirected
2018,성장,74,undirected
2018,사업,73,undirected
2018,혁신,69,undirected
2018,고객,67,undirected
2018,변화,64,undirected
2018,노력,60,undirected
2018,문화,60,undirected
2018,강화,57,undirected
2018,가치,56,undirected
2018,기업,53,undirected
2018,글로벌,51,undirected
2018,안전,50,undirected
2018,조직,49,undirected
2018,경쟁력,49,undirected
2018,미래,47,undirected
2018,목표,47,undirected
2018,기술,47,undirected
2018,환경,46,undirected
2018,확보,43,undirected
2018,지속,42,undirected
2018,성과,40,undirected
2018,산업,38,undirected
2018,경제,36,undirected
2018,역량,36,undirected
2018,기반,36,undirected
2018,구축,35,undirected
